"","income","members","rooms","dwelling","prov","roof","wall","dwelling.own","water","toilet","toilet.share","electricity","landline","cellphone.use","refuse.removal","street.light","radio","hifi","tv","satelite","video","computer","camera","cellphone.own","tv.les","gas.stove","microwave","fridge","washer","district.council","head.absent","head","head.educ","head.age"
"80",6.07304453410041,5,7,"flatlet","KwaZulu.Natal","cardboard","na","yes","com.borehole","pit.ventilation","yes","na","not.working","na","na","working","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","female",4,60
"81",8.02124263004706,8,5,"na","KwaZulu.Natal","rock","plastic","yes","na","na","na","na","na","na","na","working","na","yes","na","yes","yes","yes","yes","na","na","yes","no","na","yes","Central","no","female",10,65
"82",6.00210252581735,5,2,"shack","KwaZulu.Natal","thatching","cardboard","yes","com.borehole","pit.ventilation","na","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","male",6,43
"83",6.80239476332431,2,1,"flatlet","KwaZulu.Natal","cardboard","cardboard","no","priv.borehole","pit.ventilation","na","na","not.working","na","na","not.working","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","male",9,32
"84",6.25235617687104,7,4,"na","KwaZulu.Natal","iron","plastic","yes","priv.borehole","chemical","yes","na","not.working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","female",0,59
"85",6.74523634948436,2,1,"flatlet","KwaZulu.Natal","cardboard","cardboard","no","priv.borehole","pit.ventilation","na","na","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","male",10,31
"87",6.68981431147568,8,6,"na","KwaZulu.Natal","cardboard","na","yes","priv.borehole","chemical","yes","na","not.working","na","na","working","na","na","na","yes","na","yes","yes","na","na","na","na","na","yes","Central","no","female",1,63
"88",7.1066061377273,1,-3,"na","KwaZulu.Natal","iron","plastic","yes","na","pit.ventilation","na","na","not.working","yes","yes","working","na","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Central","no","male",7,63
"89",6.28290792381859,2,-3,"hut","KwaZulu.Natal","thatching","cardboard","yes","priv.borehole","chemical","yes","na","not.working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Central","no","male",7,67
"90",5.54343982458102,9,3,"na","KwaZulu.Natal","iron","na","yes","priv.borehole","chemical","yes","na","not.working","na","na","working","yes","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","female",12,30
"92",7.5070495730827,1,1,"na","KwaZulu.Natal","iron","plastic","yes","priv.borehole","chemical","yes","na","not.working","na","na","not.working","na","na","na","yes","na","yes","yes","na","na","na","na","na","yes","Central","no","male",10,51
"93",6.29077762992729,4,2,"backyard.shack","KwaZulu.Natal","iron","na","yes","com.borehole","chemical","na","yes","not.working","na","na","not.working","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",12,35
"94",7.6259450251829,2,-3,"na","KwaZulu.Natal","iron","na","no","com.borehole","chemical","na","na","not.working","na","na","not.working","yes","na","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","male",6,43
"95",5.99146454710798,2,2,"na","KwaZulu.Natal","plastic","brick","no","com.borehole","chemical","no","na","not.working","na","na","not.working","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","na","yes","Central","no","male",10,51
"96",8.25954936481037,1,4,"na","KwaZulu.Natal","iron","na","no","na","na","na","na","not.working","na","na","working","yes","na","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","male",13,30
"97",7.90471400376749,1,1,"flatlet","KwaZulu.Natal","cardboard","wattle","yes","com.borehole","flush.onsite","na","na","not.working","na","na","working","na","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","male",11,31
"98",5.37038789464849,8,4,"na","KwaZulu.Natal","cardboard","na","yes","priv.borehole","pit.ventilation","na","na","not.working","na","yes","no","yes","yes","yes","yes","yes","yes","yes","na","yes","yes","yes","yes","yes","Central","no","female",7,46
"99",5.30730474316411,14,8,"hut","KwaZulu.Natal","brick","cardboard","yes","priv.borehole","pit.ventilation","yes","na","not.working","na","yes","no","na","na","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","male",0,67
"100",6.11767105190274,7,5,"hut","KwaZulu.Natal","cardboard","brick","yes","priv.borehole","chemical","yes","na","not.working","na","yes","no","na","na","yes","yes","yes","yes","yes","no","na","yes","yes","na","yes","Central","no","male",0,60
"101",5.47552302973954,14,7,"hut","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","chemical","yes","na","not.working","na","yes","no","na","na","na","yes","na","yes","yes","na","na","yes","yes","na","yes","Central","no","male",3,57
"103",4.87798789390246,9,8,"hut","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","chemical","yes","na","not.working","na","yes","no","na","na","na","yes","na","yes","yes","yes","na","yes","na","yes","yes","Central","no","female",3,65
"104",6.2421833661913,6,4,"hut","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","pit.ventilation","na","na","not.working","na","yes","no","na","yes","yes","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","male",4,45
"105",5.83654007563799,23,12,"hut","KwaZulu.Natal","cardboard","thatching","yes","priv.borehole","pit.ventilation","na","na","not.working","na","yes","no","yes","yes","na","yes","yes","yes","yes","na","na","yes","yes","yes","yes","Central","no","male",0,71
"106",6.04994252197139,1,8,"hut","KwaZulu.Natal","cardboard","na","yes","priv.borehole","pit.ventilation","na","na","not.working","na","yes","no","na","yes","na","yes","yes","yes","yes","na","na","yes","yes","na","yes","Central","no","male",11,25
"107",6.07534603108868,2,1,"flatlet","KwaZulu.Natal","cardboard","thatching","no","priv.borehole","chemical","yes","na","not.working","yes","na","working","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","Central","no","male",0,54
